   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.040    0.040 Polypeptide.py:1(<module>)
      294    0.004    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.000    0.000    0.039    0.039 Seq.py:1(<module>)
        1    0.000    0.000    0.039    0.039 _index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.039    0.039 PDBParser.py:68(get_structure)
        1    0.000    0.000    0.038    0.038 PDBParser.py:107(_parse)
        1    0.000    0.000    0.038    0.038 CodonTable.py:1(<module>)
       27    0.001    0.000    0.037    0.001 CodonTable.py:493(register_ncbi_table)
     3059    0.006    0.000    0.036    0.000 {method 'clip' of 'numpy.ndarray' objects}
     3059    0.035    0.000    0.036    0.000 {built-in method numpy._core._multiarray_umath.c_einsum}
        1    0.000    0.000    0.034    0.034 defmatrix.py:1(<module>)
       81    0.000    0.000    0.034    0.000 CodonTable.py:202(__init__)
  155/154    0.000    0.000    0.034    0.000 viewing.py:1903(color)
     3062    0.008    0.000    0.034    0.000 warnings.py:166(simplefilter)
      294    0.034    0.000    0.034    0.000 {built-in method marshal.loads}
     6125    0.018    0.000    0.034    0.000 <frozen posixpath>:179(dirname)
        1    0.000    0.000    0.033    0.033 internal.py:1(<module>)
        1    0.000    0.000    0.033    0.033 _linalg.py:1(<module>)
        1    0.000    0.000    0.032    0.032 request.py:1(<module>)
        1    0.000    0.000    0.032    0.032 pymol_gl_widget.py:227(initializeGL)
      167    0.024    0.000    0.032    0.000 CodonTable.py:265(list_ambiguous_codons)
      154    0.032    0.000    0.032    0.000 {built-in method pymol._cmd.color}
  600/598    0.010    0.000    0.031    0.000 {built-in method builtins.__build_class__}
        1    0.009    0.009    0.031    0.031 PDBParser.py:131(_parse_coordinates)
     3059    0.031    0.000    0.031    0.000 _methods.py:100(_clip)
     6280    0.017    0.000    0.030    0.000 pymol_qt_gui.py:440(eventFilter)
        1    0.000    0.000    0.029    0.029 {built-in method windowHandle}
      347    0.003    0.000    0.028    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.028    0.028 compute_ca_angles.py:205(get_deviations)
  319/246    0.001    0.000    0.027    0.000 typing.py:392(inner)
     3066    0.010    0.000    0.026    0.000 warnings.py:182(_add_filter)
     3059    0.017    0.000    0.024    0.000 numeric.py:303(full)
     3066    0.003    0.000    0.024    0.000 <frozen _collections_abc>:804(get)
        1    0.000    0.000    0.023    0.023 client.py:1(<module>)
     2445    0.002    0.000    0.023    0.000 __init__.py:280(_compile)
   106/11    0.004    0.000    0.023    0.002 pymol_qt_gui.py:295(_addmenu)
     5663    0.021    0.000    0.022    0.000 {built-in method posix.stat}
     6173    0.017    0.000    0.021    0.000 <frozen os>:762(encode)
      326    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
     3062    0.009    0.000    0.021    0.000 contextlib.py:299(helper)
      326    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
  400/394    0.000    0.000    0.021    0.000 locking.py:21(__enter__)
    18851    0.014    0.000    0.020    0.000 checking.py:28(is_error)
       90    0.000    0.000    0.020    0.000 _compiler.py:740(compile)
  440/343    0.000    0.000    0.020    0.000 locking.py:26(lock)
       71    0.000    0.000    0.019    0.000 __init__.py:226(compile)
      526    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.002    0.002    0.018    0.018 prepare_data.py:61(download_proteins)
     4341    0.002    0.000    0.018    0.000 <frozen genericpath>:16(exists)
18464/18459    0.016    0.000    0.018    0.000 {built-in method pymol._cmd.flush_now}
    12544    0.017    0.000    0.017    0.000 {built-in method type}
     6119    0.017    0.000    0.017    0.000 {built-in method numpy.empty}
    38047    0.011    0.000    0.017    0.000 <frozen posixpath>:41(_get_sep)
     3061    0.015    0.000    0.016    0.000 {built-in method posix.read}
        1    0.000    0.000    0.016    0.016 Dice.py:1(<module>)
        1    0.000    0.000    0.015    0.015 PDBIO.py:1(<module>)
  135/122    0.000    0.000    0.015    0.000 typing.py:508(__getitem__)
       43    0.000    0.000    0.014    0.000 shortcut.py:30(__init__)
       43    0.009    0.000    0.014    0.000 shortcut.py:60(rebuild)
      122    0.001    0.000    0.014    0.000 typing.py:687(Union)
        1    0.000    0.000    0.014    0.014 StructureBuilder.py:1(<module>)
     3663    0.008    0.000    0.014    0.000 {built-in method builtins.sorted}
    33732    0.014    0.000    0.014    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.014    0.007 parser.py:1(<module>)
     3062    0.008    0.000    0.013    0.000 contextlib.py:141(__exit__)
        1    0.000    0.000    0.013    0.013 feedparser.py:1(<module>)
        1    0.000    0.000    0.013    0.013 _dtype_like.py:1(<module>)
     3816    0.013    0.000    0.013    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.013    0.013 commanding.py:505(delete)
