   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _function_base_impl.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parsing.py:1(<module>)
     3137    0.002    0.000    0.002    0.000 {built-in method height}
        5    0.000    0.000    0.002    0.000 commanding.py:690(extend)
        1    0.000    0.000    0.002    0.002 internal_coords.py:3888(Edron)
       12    0.000    0.000    0.002    0.000 typing.py:1562(copy_with)
     3061    0.002    0.000    0.002    0.000 {method 'count' of 'list' objects}
       10    0.000    0.000    0.002    0.000 shortcut.py:145(append)
      517    0.001    0.000    0.002    0.000 typing.py:1178(__getattr__)
      460    0.001    0.000    0.002    0.000 _inspect.py:65(getargs)
        1    0.000    0.000    0.002    0.002 invocation.py:211(get_user_config)
       35    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
     6122    0.002    0.000    0.002    0.000 subprocess.py:1311(_on_error_fd_closer)
      314    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        1    0.002    0.002    0.002    0.002 xray.py:1(<module>)
     2420    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
     5023    0.002    0.000    0.002    0.000 typing.py:1599(<genexpr>)
      294    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
     2506    0.001    0.000    0.002    0.000 _parser.py:168(__getitem__)
       41    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
      370    0.002    0.000    0.002    0.000 {built-in method hide}
     6118    0.002    0.000    0.002    0.000 _linalg.py:2620(_norm_dispatcher)
        1    0.000    0.000    0.002    0.002 __init__.py:407(initialize)
        1    0.000    0.000    0.002    0.002 ElementTree.py:1(<module>)
        1    0.000    0.000    0.002    0.002 subprocess.py:1(<module>)
     6125    0.002    0.000    0.002    0.000 <frozen codecs>:260(__init__)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pdb.py:1(<module>)
        8    0.000    0.000    0.001    0.000 typing.py:2761(_make_nmtuple)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
       10    0.000    0.000    0.001    0.000 fromnumeric.py:2349(sum)
        1    0.000    0.000    0.001    0.001 importing.py:1(<module>)
       10    0.000    0.000    0.001    0.000 fromnumeric.py:69(_wrapreduction)
       92    0.001    0.000    0.001    0.000 enum.py:254(__set_name__)
        2    0.000    0.000    0.001    0.001 __init__.py:248(load)
     6122    0.001    0.000    0.001    0.000 subprocess.py:1973(_internal_poll)
        1    0.000    0.000    0.001    0.001 parse_pdb_header.py:72(_get_references)
     1387    0.000    0.000    0.001    0.000 Atom.py:376(set_parent)
      185    0.001    0.000    0.001    0.000 {built-in method pymol._cmd.get_setting_updates}
        1    0.000    0.000    0.001    0.001 pathlib.py:1(<module>)
      729    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      575    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 pymol_gl_widget.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _arraysetops_impl.py:1(<module>)
       83    0.001    0.000    0.001    0.000 keymapping.py:44(get_modifiers)
       11    0.000    0.000    0.001    0.000 glob.py:13(glob)
       33    0.000    0.000    0.001    0.000 typing.py:1390(copy_with)
        1    0.000    0.000    0.001    0.001 _utils_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:1(<module>)
        1    0.000    0.000    0.001    0.001 constants.py:1(<module>)
       18    0.000    0.000    0.001    0.000 arrayprint.py:1675(_array_str_implementation)
      750    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
     1985    0.001    0.000    0.001    0.000 _parser.py:261(get)
     3059    0.001    0.000    0.001    0.000 fromnumeric.py:2245(_clip_dispatcher)
       14    0.000    0.000    0.001    0.000 typing.py:1264(__ror__)
     3061    0.001    0.000    0.001    0.000 <frozen codecs>:186(__init__)
       11    0.000    0.000    0.001    0.000 glob.py:60(_iglob)
       21    0.000    0.000    0.001    0.000 pymol_qt_gui.py:1163(event)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
      180    0.000    0.000    0.001    0.000 enum.py:1562(__and__)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        3    0.000    0.000    0.001    0.000 parser.py:600(<lambda>)
       18    0.000    0.000    0.001    0.000 arrayprint.py:540(wrapper)
        1    0.000    0.000    0.001    0.001 Entity.py:1(<module>)
      294    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        1    0.000    0.000    0.001    0.001 models.py:1(<module>)
        2    0.000    0.000    0.001    0.001 commanding.py:435(do)
       25    0.000    0.000    0.001    0.000 dtypes.py:30(_add_dtype_helper)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.001    0.001    0.001    0.001 pymol_qt_gui.py:1188(make_pymol_qicon)
  484/164    0.001    0.000    0.001    0.000 _parser.py:178(getwidth)
     8178    0.001    0.000    0.001    0.000 {method 'issuperset' of 'set' objects}
       81    0.000    0.000    0.001    0.000 CodonTable.py:170(__init__)
       11    0.000    0.000    0.001    0.000 glob.py:105(_glob1)
        1    0.000    0.000    0.001    0.001 _polynomial_impl.py:1(<module>)
     5875    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       81    0.001    0.000    0.001    0.000 CodonTable.py:149(make_back_table)
       18    0.001    0.000    0.001    0.000 arrayprint.py:1668(_guarded_repr_or_str)
        2    0.000    0.000    0.001    0.001 pymol_qt_gui.py:1033(commandoverloaddecorator)
        1    0.000    0.000    0.001    0.001 _type_check_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 message.py:1(<module>)
      311    0.000    0.000    0.001    0.000 function_base.py:491(_add_docstring)
        1    0.000    0.000    0.001    0.001 creating.py:1(<module>)
      882    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.001    0.001 preset.py:1(<module>)
        1    0.000    0.000    0.001    0.001 glob.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pathlib.py:812(PureWindowsPath)
        1    0.000    0.000    0.001    0.001 cealign.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:232(exec_deferred)
      144    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
      185    0.001    0.000    0.001    0.000 {built-in method pymol._cmd.get_progress}
      154    0.000    0.000    0.001    0.000 internal.py:562(_interpret_color)
      294    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      185    0.001    0.000    0.001    0.000 {built-in method verticalScrollBar}
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
     1387    0.001    0.000    0.001    0.000 Atom.py:418(get_full_id)
       13    0.000    0.000    0.001    0.000 typing.py:740(Optional)
        1    0.000    0.000    0.001    0.001 legacysupport.py:1(<module>)
      347    0.000    0.000    0.001    0.000 __init__.py:102(find_spec)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
     2802    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
        3    0.000    0.000    0.001    0.000 parser.py:166(parse)
     1387    0.001    0.000    0.001    0.000 Atom.py:199(_assign_element)
      467    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
     2244    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
     3061    0.001    0.000    0.001    0.000 {built-in method posix.waitstatus_to_exitcode}
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cpv.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:436(PercentStyle)
        6    0.000    0.000    0.001    0.000 setting.py:183(set)
        2    0.001    0.000    0.001    0.000 pymol_qt_gui.py:1135(handle_file_open)
        1    0.000    0.000    0.001    0.001 controlling.py:168(config_mouse)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 parse_pdb_header.py:62(_get_journal)
      750    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
     3061    0.001    0.000    0.001    0.000 subprocess.py:481(__init__)
        4    0.000    0.000    0.001    0.000 warnings.py:131(filterwarnings)
      750    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      750    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.001    0.001 controlling.py:609(mouse)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        1    0.000    0.000    0.001    0.001 printoptions.py:1(<module>)
     1387    0.000    0.000    0.001    0.000 Atom.py:245(_assign_atom_mass)
       88    0.001    0.000    0.001    0.000 {built-in method addSeparator}
     2580    0.001    0.000    0.001    0.000 _parser.py:240(__next)
      347    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
     1557    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.001    0.001 _nanfunctions_impl.py:1(<module>)
     4627    0.001    0.000    0.001    0.000 Entity.py:293(has_id)
    299/1    0.002    0.000    0.001    0.001 {built-in method builtins.exec}
     1557    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     3067    0.001    0.000    0.001    0.000 multiarray.py:1101(copyto)
        1    0.000    0.000    0.001    0.001 ElementPath.py:1(<module>)
      185    0.000    0.000    0.001    0.000 colorprinting.py:8(htmlspecialchars)
      347    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
       11    0.000    0.000    0.001    0.000 fnmatch.py:48(filter)
     1176    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _gui.py:1(<module>)
      327    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      705    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
    20/19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:997(exec_module)
     1558    0.000    0.000    0.001    0.000 Entity.py:301(get_id)
      463    0.000    0.000    0.001    0.000 Chain.py:157(has_id)
        1    0.000    0.000    0.001    0.001 __init__.py:201(setup_environ)
     1691    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
    20/19    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
      154    0.000    0.000    0.001    0.000 internal.py:574(_validate_color_sc)
     2654    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      492    0.000    0.000    0.001    0.000 enum.py:850(__setattr__)
        1    0.000    0.000    0.001    0.001 _globals.py:1(<module>)
        1    0.000    0.000    0.001    0.001 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
       74    0.000    0.000    0.001    0.000 _parser.py:98(closegroup)
        3    0.000    0.000    0.001    0.000 fnmatch.py:38(_compile_pattern)
        7    0.000    0.000    0.001    0.000 warnings.py:97(_showwarnmsg)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
      503    0.000    0.000    0.001    0.000 setting.py:61(_get_index)
     1740    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
        7    0.000    0.000    0.001    0.000 warnings.py:20(_showwarnmsg_impl)
        1    0.000    0.000    0.001    0.001 platform.py:1(<module>)
        3    0.000    0.000    0.001    0.000 parser.py:181(_parse)
      347    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.001    0.001    0.001    0.001 keymapping.py:1(<module>)
     2774    0.001    0.000    0.001    0.000 {method 'capitalize' of 'str' objects}
        1    0.000    0.000    0.001    0.001 _twodim_base_impl.py:1(<module>)
      110    0.000    0.000    0.001    0.000 __init__.py:164(match)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
     2654    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.001    0.001 ipaddress.py:2314(_IPv6Constants)
      345    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        1    0.000    0.000    0.001    0.001 viewing.py:1(<module>)
      311    0.000    0.000    0.001    0.000 function_base.py:473(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 pymol_gl_widget.py:216(updateFbScale)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
        1    0.000    0.000    0.000    0.000 _methods.py:1(<module>)
        5    0.000    0.000    0.000    0.000 legacysupport.py:26(get_pmgapp)
      558    0.000    0.000    0.000    0.000 enum.py:1544(_get_value)
        1    0.000    0.000    0.000    0.000 reduction.py:1(<module>)
       39    0.000    0.000    0.000    0.000 typing.py:361(_flatten_literal_params)
       25    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
       17    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
        5    0.000    0.000    0.000    0.000 gui.py:20(get_pmgapp)
     2080    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
     3061    0.000    0.000    0.000    0.000 contextlib.py:564(__enter__)
        1    0.000    0.000    0.000    0.000 pymol_qt_gui.py:990(createlegacypmgapp)
        1    0.000    0.000    0.000    0.000 __init__.py:175(guess_pymol_path)
        1    0.000    0.000    0.000    0.000 {built-in method setWidget}
       27    0.000    0.000    0.000    0.000 controlling.py:799(button)
       16    0.000    0.000    0.000    0.000 typing.py:885(__init__)
        1    0.000    0.000    0.000    0.000 mae.py:1(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
  403/339    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
      560    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
        1    0.000    0.000    0.000    0.000 charset.py:1(<module>)
       17    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
        1    0.000    0.000    0.000    0.000 viewing.py:65(zoom)
      294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
      768    0.000    0.000    0.000    0.000 _parser.py:176(append)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
       32    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       12    0.000    0.000    0.000    0.000 <frozen posixpath>:320(expandvars)
 1052/988    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 request.py:935(AbstractBasicAuthHandler)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        1    0.000    0.000    0.000    0.000 internal_coords.py:312(IC_Chain)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 controlling.py:1(<module>)
     3061    0.000    0.000    0.000    0.000 subprocess.py:1089(__enter__)
        1    0.000    0.000    0.000    0.000 IUPACData.py:1(<module>)
      256    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _gui.py:55(get_menudata)
      904    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
      954    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 process.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Residue.py:1(<module>)
     1183    0.000    0.000    0.000    0.000 _parser.py:256(match)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1569(_IPv4Constants)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
      200    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
      347    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 shortcut.py:1(<module>)
      105    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
      185    0.000    0.000    0.000    0.000 {built-in method setValue}
      460    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
       11    0.000    0.000    0.000    0.000 glob.py:176(_listdir)
      2/1    0.001    0.000    0.000    0.000 visualize_deviations.py:1(<module>)
      273    0.000    0.000    0.000    0.000 {built-in method setCheckable}
      587    0.000    0.000    0.000    0.000 typing.py:1598(_value_and_type_iter)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
      460    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      998    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
      858    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
        5    0.000    0.000    0.000    0.000 pymol_qt_gui.py:50(keyPressEvent)
       41    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      345    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       33    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
     1831    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 PDBParser.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:1822(__new__)
        3    0.000    0.000    0.000    0.000 IUPACData.py:193(_make_ambiguous_ranges)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
      187    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
      335    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      165    0.000    0.000    0.000    0.000 _compiler.py:398(_simple)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
       20    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       69    0.000    0.000    0.000    0.000 typing.py:1061(<genexpr>)
       81    0.000    0.000    0.000    0.000 typing.py:961(_is_unpacked_typevartuple)
        1    0.000    0.000    0.000    0.000 pkgutil.py:1(<module>)
       38    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 keywords.py:5(get_command_keywords)
       11    0.000    0.000    0.000    0.000 {built-in method addMenu}
      185    0.000    0.000    0.000    0.000 {built-in method maximum}
      538    0.000    0.000    0.000    0.000 _parser.py:293(tell)
      295    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       80    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
     1552    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      408    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      499    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      137    0.000    0.000    0.000    0.000 glob.py:142(_iterdir)
        5    0.000    0.000    0.000    0.000 keymapping.py:61(keyPressEventToPyMOLButtonArgs)
        1    0.000    0.000    0.000    0.000 utils.py:168(__init__)
        2    0.000    0.000    0.000    0.000 typing.py:2854(__new__)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
        1    0.000    0.000    0.000    0.000 array_utils.py:1(<module>)
      108    0.000    0.000    0.000    0.000 {built-in method setWindowTitle}
       78    0.000    0.000    0.000    0.000 {built-in method pos}
     2734    0.000    0.000    0.000    0.000 Atom.py:414(get_id)
        2    0.000    0.000    0.000    0.000 importing.py:41(filename_to_format)
      224    0.000    0.000    0.000    0.000 {built-in method pymol._cmd.get_setting_of_type}
        1    0.000    0.000    0.000    0.000 pkgutil.py:319(extend_path)
     1555    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        7    0.000    0.000    0.000    0.000 warnings.py:118(_formatwarnmsg)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       44    0.000    0.000    0.000    0.000 typing.py:977(_typevar_subst)
       21    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      460    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      310    0.000    0.000    0.000    0.000 Residue.py:34(__init__)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
       45    0.000    0.000    0.000    0.000 enum.py:967(_get_mixins_)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
        1    0.000    0.000    0.000    0.000 Structure.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PDBData.py:1(<module>)
        7    0.000    0.000    0.000    0.000 warnings.py:35(_formatwarnmsg_impl)
        1    0.000    0.000    0.000    0.000 parse_pdb_header.py:132(_chop_end_misc)
      484    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
      272    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      580    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        7    0.000    0.000    0.000    0.000 {built-in method pcatch.write}
        1    0.000    0.000    0.000    0.000 feedingback.py:1(<module>)
      288    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 webbrowser.py:1(<module>)
      327    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 message.py:135(Message)
      460    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        2    0.000    0.000    0.000    0.000 _nanfunctions_impl.py:115(_copyto)
        1    0.000    0.000    0.000    0.000 {built-in method pymol._cmd.zoom}
      336    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
       50    0.000    0.000    0.000    0.000 _add_newdocs.py:6752(refer_to_array_attribute)
        1    0.000    0.000    0.000    0.000 __init__.py:592(__init__)
        1    0.000    0.000    0.000    0.000 encoders.py:1(<module>)
      463    0.000    0.000    0.000    0.000 Chain.py:83(_translate_id)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 commanding.py:354(reinitialize)
    104/4    0.000    0.000    0.000    0.000 copy.py:118(deepcopy)
        9    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
      750    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       12    0.000    0.000    0.000    0.000 parse_pdb_header.py:127(_chop_end_codes)
      177    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      462    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      999    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1916    0.000    0.000    0.000    0.000 StructureBuilder.py:65(set_line_counter)
        1    0.000    0.000    0.000    0.000 SASA.py:1(<module>)
   102/84    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      167    0.000    0.000    0.000    0.000 selector.py:1(process)
       10    0.000    0.000    0.000    0.000 shortcut.py:40(add_one)
        1    0.000    0.000    0.000    0.000 Model.py:1(<module>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       74    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
        1    0.000    0.000    0.000    0.000 __init__.py:450(validate)
     1558    0.000    0.000    0.000    0.000 Entity.py:178(id)
        1    0.000    0.000    0.000    0.000 parser.py:142(exec_python)
      986    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:91(_init_internals)
      460    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        8    0.000    0.000    0.000    0.000 {built-in method addLayout}
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method pymol._cmd.get_setting_indices}
      343    0.000    0.000    0.000    0.000 {built-in method setChecked}
        1    0.000    0.000    0.000    0.000 _arraypad_impl.py:1(<module>)
       45    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
        5    0.000    0.000    0.000    0.000 cmd.py:112(exp_path)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Seq.py:2026(Seq)
       94    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 internal_coords.py:4263(Dihedron)
       42    0.000    0.000    0.000    0.000 getlimits.py:101(_float_conv)
      196    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      328    0.000    0.000    0.000    0.000 typing.py:1603(__eq__)
        4    0.000    0.000    0.000    0.000 __init__.py:111(addmenuitem)
       90    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      205    0.000    0.000    0.000    0.000 pymol_qt_gui.py:334(<lambda>)
       19    0.000    0.000    0.000    0.000 pymol_qt_gui.py:1140(handle_file_open_active)
      311    0.000    0.000    0.000    0.000 types.py:192(__init__)
        1    0.000    0.000    0.000    0.000 editing.py:1(<module>)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       86    0.000    0.000    0.000    0.000 shortcut.py:150(auto_err)
       10    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
      348    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        7    0.000    0.000    0.000    0.000 linecache.py:26(getline)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
     1387    0.000    0.000    0.000    0.000 Entity.py:305(get_full_id)
        1    0.000    0.000    0.000    0.000 ic_data.py:1(<module>)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
       10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 vectors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 completing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:1966(__init_subclass__)
    26/11    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       45    0.000    0.000    0.000    0.000 typing.py:307(_unpack_args)
        1    0.000    0.000    0.000    0.000 parse_pdb_header.py:23(_get_biomoltrans)
        1    0.000    0.000    0.000    0.000 copy.py:247(_reconstruct)
      242    0.000    0.000    0.000    0.000 shortcut.py:98(interpret)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
      177    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
    26/11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
